Travel ID,SOURCE,DESTINATION,Transaction Value,COST,DATE,EMPLOYEE_ID,Main Category,Sub Category,Emission Factor,Emission,Title,DEPARTMENT
1,Kitchener,Quebec City,1011.3,738.8003883899098,2020-03-22,4585,Ground Travel,Train,0.15,151.695,Marketing,IT
2,Calgary,Calgary,4.0,491.52227227235875,2022-10-19,2964,Accommodation,Hotel,0.1,0.4,IT,Marketing
3,Calgary,Vancouver,6.0,939.4993785553103,2022-10-29,3379,Accommodation,Hotel,0.1,0.6000000000000001,Finance,Sales
4,Quebec City,Ottawa,6357.46,948.5468542721457,2022-04-19,2418,Ground Travel,Car,0.2,1271.4920000000002,IT,IT
5,Kitchener,Vancouver,10.0,789.8695369598656,2022-10-05,4483,Accommodation,AirBnB,0.09,0.8999999999999999,Sales,Finance
6,Calgary,Ottawa,3.0,742.0449989385788,2022-06-22,4100,Accommodation,Hotel,0.1,0.30000000000000004,Marketing,IT
7,Hamilton,Vancouver,3.0,665.1338519071811,2021-06-24,3926,Accommodation,Lodging,0.08,0.24,HR,IT
8,Kitchener,Toronto,3272.38,950.3199868486494,2022-07-15,2316,Air Travel,Commercial Airline,0.16,523.5808000000001,Finance,HR
9,Ottawa,Winnipeg,2223.05,966.0397023680039,2023-03-12,145,Ground Travel,Ferry,0.18,400.149,Sales,Sales
10,Calgary,Calgary,7384.98,137.37274602881297,2022-02-22,4405,Ground Travel,Car,0.2,1476.996,HR,IT
11,Edmonton,Montreal,8261.94,833.520148954858,2021-08-24,189,Ground Travel,Ferry,0.18,1487.1492,IT,IT
12,Winnipeg,Winnipeg,5435.69,722.7328117078686,2023-05-12,4699,Ground Travel,Ferry,0.18,978.4241999999999,IT,Sales
13,Winnipeg,Kitchener,5.0,823.4986858874311,2021-05-13,2676,Accommodation,Lodging,0.08,0.4,HR,Finance
14,Montreal,Kitchener,2426.76,603.5554137726931,2021-11-06,4280,Ground Travel,Ferry,0.18,436.8168,Finance,Finance
15,Vancouver,Winnipeg,814.18,738.6990193105951,2020-12-16,387,Ground Travel,Ferry,0.18,146.55239999999998,Finance,HR
16,Vancouver,Montreal,2502.34,139.86955386378864,2021-02-12,3259,Ground Travel,Car,0.2,500.4680000000001,Finance,Sales
17,Quebec City,Kitchener,2998.58,714.6946682862012,2022-09-12,3563,Ground Travel,Ferry,0.18,539.7443999999999,Marketing,Finance
18,Montreal,Winnipeg,4.0,261.4144027018266,2020-06-17,3158,Accommodation,Lodging,0.08,0.32,HR,Finance
19,Kitchener,Ottawa,4.0,574.4669962287139,2023-06-24,1308,Accommodation,Green Accommodation,0.05,0.2,IT,Marketing
20,Toronto,Winnipeg,1733.81,797.9333538229704,2020-03-14,754,Air Travel,Private Jet,0.27,468.12870000000004,Sales,HR
21,Vancouver,Edmonton,1.0,579.1108841195905,2020-04-05,3961,Accommodation,Hotel,0.1,0.1,Finance,HR
22,Montreal,Toronto,9.0,923.4188037292648,2022-02-05,2770,Accommodation,Green Accommodation,0.05,0.45,Marketing,IT
23,Edmonton,Montreal,6486.52,353.7405950583709,2022-09-18,3006,Air Travel,Private Jet,0.27,1751.3604000000003,Sales,IT
24,Edmonton,Winnipeg,7.0,242.08263423355652,2020-10-03,4369,Accommodation,Green Accommodation,0.05,0.35000000000000003,IT,HR
25,Kitchener,Edmonton,3.0,600.1302382489041,2022-01-28,3810,Accommodation,Hotel,0.1,0.30000000000000004,Marketing,HR
26,Edmonton,Kitchener,2.0,815.2139139668425,2020-08-28,2084,Accommodation,Green Accommodation,0.05,0.1,HR,Marketing
27,Vancouver,Toronto,2041.05,293.56697588712825,2021-04-22,4263,Ground Travel,Ferry,0.18,367.38899999999995,Marketing,Sales
28,Edmonton,Winnipeg,8016.88,858.4749797631333,2023-10-22,1991,Air Travel,Commercial Airline,0.16,1282.7008,IT,HR
29,Edmonton,Ottawa,504.08,460.65551116498654,2023-08-05,990,Air Travel,Commercial Airline,0.16,80.6528,IT,Marketing
30,Hamilton,Montreal,9.0,208.98092110092205,2020-10-20,1517,Accommodation,AirBnB,0.09,0.8099999999999999,Marketing,HR
31,Winnipeg,Montreal,9304.78,324.61096186165196,2021-07-15,1693,Ground Travel,Train,0.15,1395.717,Sales,Finance
32,Winnipeg,Winnipeg,348.61,409.7353709855651,2023-09-08,4423,Air Travel,Private Jet,0.27,94.1247,Marketing,Marketing
33,Hamilton,Vancouver,8.0,608.1671751391868,2023-12-10,1335,Accommodation,Lodging,0.08,0.64,Finance,Sales
34,Kitchener,Kitchener,5300.55,265.7942885592521,2021-09-11,1622,Air Travel,Private Jet,0.27,1431.1485000000002,Finance,Marketing
35,Montreal,Ottawa,2804.19,879.320604703205,2020-07-31,3108,Ground Travel,Car,0.2,560.8380000000001,IT,HR
36,Montreal,Edmonton,2330.73,519.146187361185,2022-01-13,2983,Ground Travel,Ferry,0.18,419.53139999999996,IT,IT
37,Vancouver,Montreal,6.0,533.7859909120526,2023-08-14,1549,Accommodation,Hotel,0.1,0.6000000000000001,IT,Finance
38,Kitchener,Vancouver,5.0,732.2346736152335,2023-12-08,2480,Accommodation,AirBnB,0.09,0.44999999999999996,Marketing,IT
39,Toronto,Montreal,8225.31,271.46980034706024,2020-03-14,2514,Ground Travel,Train,0.15,1233.7965,HR,Sales
40,Montreal,Vancouver,6996.74,753.4989684793726,2020-05-13,2229,Ground Travel,Car,0.2,1399.348,HR,IT
41,Winnipeg,Toronto,5143.48,968.187759968028,2022-08-25,2993,Ground Travel,Train,0.15,771.5219999999999,IT,Sales
42,Edmonton,Quebec City,5537.11,358.4854697450418,2023-02-01,110,Air Travel,Commercial Airline,0.16,885.9376,IT,Finance
43,Winnipeg,Winnipeg,8.0,356.1916935322739,2023-04-13,4647,Accommodation,Lodging,0.08,0.64,Marketing,Sales
44,Hamilton,Quebec City,8365.93,759.2870305519631,2020-09-12,4657,Ground Travel,Train,0.15,1254.8895,Sales,Sales
